GATE_HI_CC: 316.4567,703.3918,347.8153,819.0598,1,0
Connection: HI_A16,HI_A25,15,27,15,16,1,3
Connection: HI_A16,HI_B05,20,27,16,5,1,3
Connection: HI_A16,HI_A17,3,16,50,17,2,0
Connection: HI_A16,HI_A27,51,13,4,12,0,2
Connection: HI_A17,HI_A18,11,30,10,3,1,3
Connection: HI_A17,HI_A23,4,23,49,23,2,0
Connection: HI_A18,HI_C05,49,22,10,23,0,2
Connection: HI_A19,HI_A24,4,32,48,29,2,0
Connection: HI_A20,HI_S01,28,29,24,11,1,3
Connection: HI_A21,HI_C04,20,27,48,40,1,1
Connection: HI_A21,HI_S02,22,10,23,29,3,1
Connection: HI_A22,HI_B02,31,10,32,19,0,2
Connection: HI_A22,HI_C14,17,13,18,117,3,1
Connection: HI_A23,HI_C02,15,30,4,11,1,2
Connection: HI_A24,HI_S04,25,26,21,17,3,0
Connection: HI_A25,HI_C04,48,16,6,25,0,2
Connection: HI_A26,HI_B05,5,30,42,9,1,0
Connection: HI_B02,HI_C01,11,50,15,88,2,2
Connection: HI_B02,HI_CG_WestTower,25,43,23,69,3,1
Connection: HI_B03,HI_C01,5,23,49,67,2,0
Connection: HI_B03,HI_C04,99,9,48,118,3,1
Connection: HI_B04,HI_B12,32,74,26,5,0,0
Connection: HI_B04,HI_S03,8,5,9,23,2,2
Connection: HI_B05,HI_C14,17,55,15,9,1,3
Connection: HI_B06,HI_C04,4,19,51,106,2,0
Connection: HI_B07,HI_B09,4,29,49,33,2,0
Connection: HI_B07,HI_B14,79,10,35,68,3,1
Connection: HI_B08,HI_C01,33,31,36,4,1,3
Connection: HI_B08,HI_C04,97,19,2,106,0,2
Connection: HI_B08,HI_C02,10,17,43,102,3,3
Connection: HI_B09,HI_C11,8,68,48,20,2,0
Connection: HI_B12,HI_B13,34,75,21,42,1,3
Connection: HI_B14,HI_C03,4,62,49,107,2,0
Connection: HI_B14,HI_D01,48,22,5,16,0,2
Connection: HI_B15,HI_C03,85,31,33,12,1,3
Connection: HI_C13,HI_D01,3,19,190,18,2,0
Connection: HI_C13,HI_S06,81,14,27,25,3,1
