GATE_SI_AR: -1343.375,20.03434,-1106.037,290.8361,1,0
Connection: SI_B09,SI_C06,93,10,43,14,2,0
Connection: SI_B09,SI_B10,11,5,8,15,3,2
Connection: SI_B10,SI_D01,36,75,50,18,1,0
Connection: SI_B10,SI_C04,5,49,139,5,2,0
Connection: SI_B11,SI_D05,35,50,23,60,1,3
Connection: SI_B11,SI_D06,11,7,77,33,3,1
Connection: SI_B13,SI_D07,9,69,102,70,2,0
Connection: SI_C01,SI_C02,29,9,150,7,3,3
Connection: SI_C01,SI_C04,137,9,15,5,3,2
Connection: SI_C02,SI_C07,68,7,12,18,3,3
Connection: SI_C03,SI_D01,15,5,91,52,2,0
Connection: SI_C04,SI_D01,139,36,20,22,0,3
Connection: SI_C07,SI_E01,41,18,30,31,3,3
Connection: SI_C08,SI_D05,15,36,87,7,2,3
Connection: SI_C08,SI_D06,4,15,197,12,2,0
Connection: SI_C09,SI_D07,50,71,9,71,1,1
Connection: SI_D01,SI_TM01,9,50,202,5,3,3
Connection: SI_D05,SI_D06,9,12,126,13,2,3
Connection: SI_E01,SI_E02,13,11,139,3,3,3
Connection: SI_E02,SI_E06,4,29,41,17,3,0
Connection: SI_E02,SI_E05,4,10,44,17,2,0
Connection: SI_E03,SI_E06,43,25,8,17,1,2
Connection: SI_E03,SI_E05,41,5,3,17,0,2
Connection: SI_E03,SI_E04,5,5,39,31,2,1
Connection: SI_S03,SI_S03P,10,24,54,23,2,0
Connection: SI_TM01,SI_TM02,13,5,204,19,3,3
