GATE_HI_CC: 303.6265,709.0334,341.9852,838.607,1,0
Connection: HI_C02,HI_B08,43,102,10,17,3,3
Connection: HI_C02,HI_A23,4,11,15,30,2,1
Connection: HI_B02,HI_C01,11,50,15,88,2,2
Connection: HI_B02,HI_A22,32,19,31,10,2,0
Connection: HI_A22,HI_C14,17,13,18,117,3,1
Connection: HI_C14,HI_B05,15,9,17,55,3,1
Connection: HI_C01,HI_B03,49,67,5,23,0,2
Connection: HI_C01,HI_B08,36,4,33,31,3,1
Connection: HI_B03,HI_C04,99,9,48,118,3,1
Connection: HI_B08,HI_C04,97,19,2,106,0,2
Connection: HI_C04,HI_B06,51,106,4,19,0,2
Connection: HI_C04,HI_A21,48,40,20,27,1,1
Connection: HI_C04,HI_A25,6,25,48,16,2,0
Connection: HI_A25,HI_A16,15,16,15,27,3,1
Connection: HI_A21,HI_S02,22,10,23,19,3,1
Connection: HI_B06,HI_A10,66,34,10,7,1,3
Connection: HI_B06,HI_A11,97,19,3,20,0,2
Connection: HI_A10,HI_C11,42,26,11,17,1,3
Connection: HI_A10,HI_S05,42,5,18,10,3,3
Connection: HI_C11,HI_B09,48,20,8,68,0,2
Connection: HI_B09,HI_B07,49,33,4,29,0,2
Connection: HI_B07,HI_B14,79,10,35,68,3,1
Connection: HI_B14,HI_C03,4,62,49,107,2,0
Connection: HI_B14,HI_D01,48,22,5,16,0,2
Connection: HI_C03,HI_A11,3,105,43,20,2,0
Connection: HI_C03,HI_B15,33,12,85,31,3,1
Connection: HI_B15,HI_A04,7,30,33,17,1,3
Connection: HI_A04,HI_A26,5,3,45,30,3,1
Connection: HI_A26,HI_B05,5,30,42,9,1,0
Connection: HI_B05,HI_A16,16,5,20,27,3,1
Connection: HI_A16,HI_A17,3,16,50,17,2,0
Connection: HI_A16,HI_A27,51,13,4,12,0,2
Connection: HI_A17,HI_A18,11,30,10,3,1,3
Connection: HI_A17,HI_A23,4,23,49,23,2,0
Connection: HI_A18,HI_C05,49,22,10,23,0,2
Connection: HI_C05,HI_A06,153,25,3,22,0,2
Connection: HI_A06,HI_A24,50,29,5,29,0,2
Connection: HI_A24,HI_A19,48,29,4,32,0,2
Connection: HI_A24,HI_S04,25,26,21,17,3,0
