GATE_AB_LF: -667.8353,-154.8625,-577.0815,-64.09309,1,0
LF_D04: 783.9965,-654.3054,664.0743,-583.5654,1,1
LF_D06: -1108.003,-193.3056,-818.9257,-235.5655,2,1
LF_D07: -288.1354,-446.6455,-485.2581,-597.7318,1,1
LF_D08: -1784.233,-176.8436,-1516.979,-35.75967,1,1
LF_E01: -309.0039,52.6943,-295.926,-47.56543,2,1
LF_E02: 628.996,181.6944,573.0743,162.4345,0,1
LF_E03: -147.0042,181.6944,-70.92594,173.4347,0,1
LF_E04: 337.9962,348.6941,-81.92604,406.4344,1,1
LF_E05: -1415.004,-355.3058,-1383.927,-209.5655,0,1
LF_F02: 942.9978,458.6942,691.0743,434.4344,1,1
LF_H01: -733.004,349.6942,-1054.926,410.4344,1,1
LF_H02: -556.0042,-425.3058,-570.9257,-300.5656,0,1
LF_HW1: 462.0878,264.9259,1176.784,-23.11238,1,1
LF_J01: -1809.002,295.6942,-1677.927,333.4344,1,1
LF_S01: -1163.002,6.694454,-938.9257,32.43428,2,0
LF_S02: 1066.998,183.6944,747.0743,291.4344,1,0
LF_S03: -2108.002,-371.3058,-1728.927,-225.5655,1,0
LF_S04: -2669.267,124.9324,-2178.193,223.3153,1,0
LF_S05: 1003.257,-664.8068,927.937,-589.9453,1,0
LF_S06: -813.4581,160.8342,-837.3479,158.5782,1,0
LF_S07: 984.6848,-75.00244,1154.979,-132.9931,2,0
OffScreenDen_LF: -538.0044,1045.694,-587.9257,314.4344,1,1
Connection: GATE_AB_LF,LF_C_AB,2,15,39,5,2,0
Connection: GATE_LF_BL,LF_BL1,2,9,45,11,2,0
Connection: GATE_LF_HW,LF_HW1,2,9,250,10,2,0
Connection: GATE_LF_SB,LF_C03,45,11,4,15,0,2
Connection: GATE_LF_SB,LF_S04,36,5,42,20,3,0
Connection: GATE_LF_SU,LF_A14,2,9,44,15,2,0
Connection: GATE_SI_LF,LF_C05,45,9,6,97,0,2
Connection: GATE_UB_LF,LF_C03,45,9,144,3,0,3
Connection: LF_A01,LF_E05,4,26,253,25,2,0
Connection: LF_A01,LF_H02,50,10,19,51,0,2
Connection: LF_A01,LF_D06,7,10,42,12,2,3
Connection: LF_A02,LF_C02,45,19,4,20,0,2
Connection: LF_A02,LF_H02,4,6,203,12,2,0
Connection: LF_A03,LF_H01,3,30,410,10,1,3
Connection: LF_A03,LF_E04,44,32,17,3,1,3
Connection: LF_A04,LF_E04,5,30,254,5,1,3
Connection: LF_A04,LF_F02,42,30,8,11,1,3
Connection: LF_A05,LF_J01,3,28,253,43,1,3
Connection: LF_A05,LF_H01,43,29,21,3,1,3
Connection: LF_A05,LF_D08,9,3,199,31,2,1
Connection: LF_A06,LF_F02,5,29,99,11,1,3
Connection: LF_A06,LF_D03,42,27,2,51,1,2
Connection: LF_A06,LF_S02,5,3,22,14,3,0
Connection: LF_A07,LF_C05,23,30,23,8,1,3
Connection: LF_A07,LF_F02,9,2,57,95,3,3
Connection: LF_A10,LF_E03,40,1,7,7,0,3
Connection: LF_A10,LF_D02,6,1,97,49,2,3
Connection: LF_A11,LF_A13,2,29,43,6,1,3
Connection: LF_A11,LF_D04,43,15,6,12,0,2
Connection: LF_A11,LF_A12,5,13,42,5,2,0
Connection: LF_A12,LF_B01,5,29,44,58,1,3
Connection: LF_A12,LF_A13,26,30,7,6,1,3
Connection: LF_A13,LF_C02,2,31,126,5,1,0
Connection: LF_A14,LF_D04,5,12,100,55,3,3
Connection: LF_A14,LF_S05,11,12,14,26,3,1
Connection: LF_A15,LF_H01,30,27,194,6,1,3
Connection: LF_A15,LF_C_AB,41,7,37,107,3,1
Connection: LF_A15,LF_S06,7,7,7,24,3,1
Connection: LF_A17,LF_B02,48,11,2,16,0,2
Connection: LF_B01,LF_D07,18,54,189,20,3,3
Connection: LF_B02,LF_HW1,43,50,7,7,3,3
Connection: LF_B02,LF_D01,8,45,197,7,3,3
Connection: LF_B02,LF_S07,45,20,24,19,0,2
Connection: LF_B02,LF_C01,18,4,152,15,3,3
Connection: LF_B03,LF_C02,3,21,150,20,2,0
Connection: LF_B03,LF_C01,97,21,4,21,0,2
Connection: LF_B03,LF_B05,46,5,5,48,0,2
Connection: LF_B04,LF_D08,4,32,3,6,2,2
Connection: LF_B04,LF_S03,4,10,24,18,2,0
Connection: LF_B04,LF_E05,96,8,15,10,0,2
Connection: LF_B05,LF_D04,39,13,3,51,0,3
Connection: LF_BL1,LF_BL2,2,11,94,49,2,0
Connection: LF_BL2,LF_BL3,5,45,194,1,3,0
Connection: LF_BL3,LF_D03,7,1,99,3,2,0
Connection: LF_C03,LF_J01,141,11,18,8,3,3
Connection: LF_D01,LF_E01,15,2,239,2,3,3
Connection: LF_D02,LF_D06,7,1,42,141,2,0
Connection: LF_D02,LF_E01,98,6,14,7,3,3
Connection: LF_D03,LF_E02,10,4,221,1,3,3
Connection: LF_D06,LF_S01,8,143,27,18,1,0
Connection: LF_E02,LF_E03,8,8,241,1,3,0
