GATE_BL_GW: -931.6841,203.2983,-821.4209,711.228,2,0
GW_C04: 1665.056,114.0806,1382.144,150.9692,1,1
GW_C05: 1446.056,161.0804,899.1432,690.9692,2,1
GW_C06: -386.9438,62.08064,-367.857,521.9692,2,1
GW_C07: -897.9435,-166.9196,-697.8568,-869.0308,0,1
GW_C08: 312.0567,-199.9196,230.1433,-761.0308,0,1
GW_C09: 620.0565,-396.9192,528.1435,-1099.03,0,1
GW_C10: -511.944,-397.9192,-444.857,-993.0308,0,1
GW_C11: 1272.895,-15.66121,1125.216,27.70281,1,1
GW_D01: -535.9439,60.08064,-436.857,90.96924,1,1
GW_D02: -1047.943,-406.9192,-962.8565,-996.0308,0,1
GW_E01: 134.056,-394.9192,-48.85682,-987.0308,0,1
GW_E02: 129.056,178.0804,-214.8569,700.9692,2,1
GW_S01: -981.9433,23.08074,-833.8565,-52.03052,2,0
GW_S02: -211.4842,48.37805,-213.4784,572.213,2,0
GW_S03: -2058.412,170.7852,-1488.347,234.1338,1,0
GW_S04: 2263.588,5.785582,1957.653,8.133739,1,0
GW_S05: -1607.948,-400.3539,-1235.254,-859.8427,1,0
GW_S06: -173.4923,-91.01301,107.0642,-660.8203,0,0
GW_S07: 668.2189,7.298141,387.4198,508.9573,2,0
GW_S08: 508.4834,47.18548,581.5616,127.0848,0,0
GW_S09: 1907.643,31.68007,1391.524,546.3735,2,0
OffScreenDen_GW: -239.9437,461.0808,-519.8569,-284.0307,1,1
Connection: GATE_BL_GW,GW_BL1,45,11,3,17,0,2
Connection: GATE_DS_GW,GW_S05,45,13,16,21,0,2
Connection: GATE_DS_GW,GW_B09,36,5,3,12,3,2
Connection: GATE_GW_SL,GW_B08,2,9,105,9,2,0
Connection: GATE_GW_SL,GW_S04,11,5,32,24,3,1
Connection: GATE_HI_GW,GW_S03,45,11,15,17,0,2
Connection: GATE_HI_GW,GW_B01,36,5,5,12,3,2
Connection: GATE_SW_GW,GW_A24,2,9,50,22,2,0
Connection: GATE_SW_GW,GW_S09,11,5,19,15,3,1
Connection: GW_A01,GW_C01,49,23,3,19,0,2
Connection: GW_A01,GW_B01,6,19,104,16,2,0
Connection: GW_A01,GW_A05,46,8,10,27,0,1
Connection: GW_A04,GW_B07,46,23,4,47,0,3
Connection: GW_A04,GW_S06,38,18,38,24,3,1
Connection: GW_A04,GW_C08,33,4,5,27,3,1
Connection: GW_A05,GW_A08,48,8,5,11,0,2
Connection: GW_A06,GW_S01,32,29,24,11,2,3
Connection: GW_A06,GW_A07,46,29,5,26,0,2
Connection: GW_A06,GW_A08,5,10,49,10,2,0
Connection: GW_A07,GW_A10,49,22,2,25,0,2
Connection: GW_A10,GW_D01,24,31,93,5,1,3
Connection: GW_A10,GW_C06,44,24,3,24,0,2
Connection: GW_A11,GW_A19,17,14,7,32,3,1
Connection: GW_A11,GW_A13,37,5,22,24,2,1
Connection: GW_A11,GW_S08,57,2,38,24,3,0
Connection: GW_A12,GW_B04,4,3,19,67,3,2
Connection: GW_A12,GW_C07,40,2,35,115,3,1
Connection: GW_A13,GW_C02,9,16,149,16,2,0
Connection: GW_A13,GW_B06,38,4,3,66,3,2
Connection: GW_A14,GW_B03,21,27,31,2,1,3
Connection: GW_A19,GW_B02,45,12,4,14,0,2
Connection: GW_A20,GW_C03,43,32,89,13,1,3
Connection: GW_A20,GW_B05,4,23,45,64,2,0
Connection: GW_A20,GW_A21,27,16,13,16,3,2
Connection: GW_A22,GW_B06,7,23,46,62,3,0
Connection: GW_A22,GW_A23,49,20,4,20,0,2
Connection: GW_A23,GW_C11,50,20,4,19,0,2
Connection: GW_A24,GW_C05,3,30,146,30,2,0
Connection: GW_B02,GW_C03,49,59,8,27,0,2
Connection: GW_B02,GW_E02,4,55,258,21,2,0
Connection: GW_B02,GW_B05,49,25,10,63,0,2
Connection: GW_B03,GW_D01,4,57,197,17,2,0
Connection: GW_B03,GW_C02,48,56,5,20,0,2
Connection: GW_B03,GW_B07,48,25,21,11,0,2
Connection: GW_B04,GW_C01,4,56,151,16,2,0
Connection: GW_B04,GW_D01,49,54,10,14,0,2
Connection: GW_B05,GW_S07,4,44,36,5,2,0
Connection: GW_B05,GW_C09,8,14,48,113,2,0
Connection: GW_B06,GW_C08,5,9,142,30,2,0
Connection: GW_B08,GW_C04,4,28,149,27,2,0
Connection: GW_B09,GW_D02,98,15,2,17,0,2
Connection: GW_BL1,GW_C06,148,19,1,103,0,2
Connection: GW_C03,GW_C05,151,17,4,18,0,2
Connection: GW_C04,GW_C11,10,6,137,31,3,1
Connection: GW_C06,GW_E02,43,108,4,28,0,2
Connection: GW_C06,GW_S02,45,58,15,18,0,2
Connection: GW_C07,GW_D02,7,7,136,32,3,1
Connection: GW_C08,GW_C09,133,8,8,114,3,1
Connection: GW_C09,GW_E01,4,56,261,18,2,0
Connection: GW_C10,GW_D02,5,12,197,17,2,0
Connection: GW_C10,GW_E01,150,11,8,6,0,3
