GATE_LF_SB: -2566.068,258.0905,-2050.638,349.2666,1,0
LF_E04: 503.8315,381.5566,58.17541,417.5676,1,1
LF_E05: -1249.169,-322.4433,-1238.826,-202.4324,0,1
LF_F02: 1108.833,491.5567,831.1758,445.5676,1,1
LF_H01: -567.1688,382.5568,-914.8242,421.5676,1,1
LF_H02: -390.1688,-392.4433,-430.8242,-289.4324,0,1
LF_J01: -1643.167,328.5568,-1537.826,344.5676,1,1
LF_S01: -997.1671,39.55695,-798.8242,43.56739,2,0
LF_S02: 1232.833,216.5569,887.1758,302.5676,1,0
LF_S03: -1942.167,-338.4433,-1588.826,-214.4324,1,0
LF_S04: -2503.432,157.7949,-2007.092,240.4484,1,0
LF_S05: 1169.092,-631.9443,1068.038,-578.8122,1,0
LF_S06: -647.6229,193.6967,-587.2465,164.7114,1,0
LF_S07: 1150.52,-42.13995,1306.08,-93.85995,2,0
OffScreenDen_LF: -372.1691,1078.557,-447.8242,325.5676,1,1
Connection: GATE_LF_SB,LF_C03,45,11,4,15,0,2
Connection: GATE_LF_SB,LF_S04,36,5,15,20,3,2
Connection: GATE_LF_SU,LF_A14,2,9,44,15,2,0
Connection: GATE_SI_LF,LF_C05,45,9,6,97,0,2
Connection: LF_A01,LF_E05,4,26,253,25,2,0
Connection: LF_A01,LF_H02,50,10,19,51,0,2
Connection: LF_A01,LF_D06,7,10,42,12,2,3
Connection: LF_A02,LF_C02,45,19,4,20,0,2
Connection: LF_A02,LF_H02,4,6,203,12,2,0
Connection: LF_A03,LF_H01,3,30,410,10,1,3
Connection: LF_A03,LF_E04,44,32,17,3,1,3
Connection: LF_A04,LF_E04,5,30,254,5,1,3
Connection: LF_A04,LF_F02,42,30,8,11,1,3
Connection: LF_A05,LF_J01,3,28,253,43,1,3
Connection: LF_A05,LF_H01,43,29,21,3,1,3
Connection: LF_A05,LF_D08,9,3,199,31,2,1
Connection: LF_A06,LF_F02,5,29,99,11,1,3
Connection: LF_A06,LF_D03,42,27,2,51,1,2
Connection: LF_A06,LF_S02,5,3,22,14,3,0
Connection: LF_A07,LF_C05,23,30,23,8,1,3
Connection: LF_A07,LF_F02,9,2,57,95,3,3
Connection: LF_A10,LF_E03,40,1,7,7,0,3
Connection: LF_A10,LF_D02,6,1,97,49,2,3
Connection: LF_A11,LF_A13,2,29,43,6,1,3
Connection: LF_A11,LF_D04,43,15,6,12,0,2
Connection: LF_A11,LF_A12,5,13,42,5,2,0
Connection: LF_A12,LF_B01,5,29,44,58,1,3
Connection: LF_A12,LF_A13,26,30,7,6,1,3
Connection: LF_A13,LF_C02,2,31,126,5,1,0
Connection: LF_A14,LF_D04,5,12,100,55,3,3
Connection: LF_A14,LF_S05,11,12,14,26,3,1
Connection: LF_A15,LF_H01,30,27,194,6,1,3
Connection: LF_A15,LF_S06,7,7,7,23,3,1
Connection: LF_A17,LF_B02,48,11,2,16,0,2
Connection: LF_B01,LF_D07,18,54,189,20,3,3
Connection: LF_B02,LF_D01,8,45,197,7,3,3
Connection: LF_B02,LF_S07,45,20,24,19,0,2
Connection: LF_B02,LF_C01,18,4,152,15,3,3
Connection: LF_B03,LF_C02,3,21,150,20,2,0
Connection: LF_B03,LF_C01,97,21,4,21,0,2
Connection: LF_B03,LF_B05,46,5,5,48,0,2
Connection: LF_B04,LF_D08,4,32,3,6,2,2
Connection: LF_B04,LF_S03,4,10,24,18,2,0
Connection: LF_B04,LF_E05,96,8,15,10,0,2
Connection: LF_B05,LF_D04,39,13,3,51,0,3
Connection: LF_C03,LF_J01,141,11,18,8,3,3
Connection: LF_D01,LF_E01,15,2,239,2,3,3
Connection: LF_D02,LF_D06,7,1,42,141,2,0
Connection: LF_D02,LF_E01,98,6,14,7,3,3
Connection: LF_D03,LF_E02,10,4,221,1,3,3
Connection: LF_D06,LF_S01,8,143,22,18,1,0
Connection: LF_E02,LF_E03,8,8,241,1,3,0
