GATE_LF_SU: -2015.416,50.51183,-1623.84,215.8515,1,0
SU_A45: -1865.816,22.66889,-1512.627,190.7886,1,0
SU_A53: 709.5025,-22.89369,711.2589,-28.4985,0,1
SU_A63: 708.5025,42.10634,708.2589,259.5014,1,1
SU_B01: -658.4975,-323.8939,-698.7411,-462.4987,2,1
SU_B02: -414.4979,208.106,-372.7407,242.5014,1,1
SU_B04: 310.5026,58.10626,259.2593,253.5014,1,1
SU_B05: -1062.499,-43.89374,-849.7411,106.5017,1,1
SU_B06: -934.4978,203.106,-762.7411,325.5015,1,1
SU_B07: 1108.501,-44.89367,1051.26,-24.49855,0,1
SU_B08: -36.498,-41.8937,-54.74068,6.501503,0,1
SU_B09: -281.4976,20.10626,-231.7408,-1.498563,0,1
SU_B10: -281.4977,-213.894,-489.7407,-181.4986,2,1
SU_B11: -743.4975,390.1061,-686.7411,587.501,1,1
SU_B12: 950.5007,33.10634,878.2589,259.5018,1,1
SU_B13: 70.50196,206.106,97.25917,444.5015,1,1
SU_B14: -773.1867,-488.9052,-871.1091,-625.619,2,0
SU_C01: -1024.498,-374.8939,-1005.742,-532.499,2,1
SU_C02: -1562.499,24.10629,-1401.74,192.5014,1,1
SU_C04: -172.3948,-268.509,-4.882381,-336.3356,1,0
SU_myroom: 1086.02,257.7961,-366.3549,-101.3387,1,1
SU_N01: 1286.278,143.6755,1283.645,277.6613,2,1
SU_N02: 1269.278,335.6755,1258.645,460.6613,2,1
SU_room2: 206.0198,207.7962,-334.3549,-235.3387,1,1
SU_S01: 246.5254,-371.2512,402.3066,-489.6413,0,0
SU_S03: -497.0599,-370.1268,-543.6315,-505.5923,2,0
SU_S04: 540.5849,123.2509,532.7244,370.8299,1,0
OffScreenDen_SU: -702.4975,1107.106,348.2593,589.501,1,0
Connection: GATE_LF_SU,SU_A45,45,9,3,18,0,2
Connection: GATE_SU_DS,SU_B14,2,9,98,14,2,0
Connection: GATE_SU_FI,SU_N02,2,9,55,71,2,0
Connection: GATE_SU_HI,SU_B13,2,9,26,56,2,0
Connection: GATE_SU_UB,SU_room2,36,19,26,13,1,3
Connection: SU_A000,SU_S03,9,20,18,8,2,2
Connection: SU_A02,SU_A53,4,21,46,19,2,0
Connection: SU_A02,SU_B07,49,21,5,23,0,2
Connection: SU_A04,SU_B01,37,11,5,51,0,2
Connection: SU_A04,SU_C01,4,7,44,83,2,0
Connection: SU_A06,SU_A39,49,27,6,26,0,2
Connection: SU_A06,SU_A36,4,25,48,26,2,0
Connection: SU_A06,SU_A38,49,6,6,5,0,2
Connection: SU_A07,SU_B05,49,12,8,57,0,3
Connection: SU_A07,SU_C02,4,10,144,9,2,0
Connection: SU_A10,SU_B01,4,19,48,53,2,0
Connection: SU_A10,SU_B10,49,10,22,47,0,3
Connection: SU_A12,SU_B11,14,31,65,3,1,3
Connection: SU_A12,SU_B06,4,22,40,69,2,0
Connection: SU_A12,SU_B02,49,22,5,66,0,2
Connection: SU_A13,SU_B11,5,12,95,12,2,0
Connection: SU_A13,SU_B02,40,3,9,73,3,1
Connection: SU_A17,SU_N01,49,31,13,21,0,2
Connection: SU_A17,SU_A40,48,22,2,24,0,2
Connection: SU_A17,SU_B12,6,11,99,13,2,0
Connection: SU_A20,SU_A33,47,28,3,27,0,2
Connection: SU_A20,SU_A29,5,20,49,20,2,0
Connection: SU_A20,SU_A34,49,12,2,12,0,2
Connection: SU_A20,SU_A35,3,2,48,22,3,0
Connection: SU_A22,SU_A43,23,27,34,12,1,3
Connection: SU_A22,SU_A23,29,27,6,12,1,2
Connection: SU_A22,SU_S01,12,16,31,18,2,0
Connection: SU_A23,SU_A25,42,30,6,14,0,2
Connection: SU_A23,SU_A24,46,9,14,10,0,3
Connection: SU_A24,SU_A25,38,24,48,5,1,3
Connection: SU_A25,SU_A38,15,24,27,8,1,3
Connection: SU_A25,SU_A53,41,27,29,3,0,3
Connection: SU_A29,SU_B02,5,26,49,26,2,0
Connection: SU_A30,SU_B01,43,15,5,21,0,2
Connection: SU_A30,SU_C01,14,11,45,41,3,0
Connection: SU_A31,SU_B02,3,29,3,3,1,2
Connection: SU_A31,SU_B09,44,7,2,48,0,2
Connection: SU_A31,SU_A32,3,3,39,31,3,1
Connection: SU_A32,SU_myroom,44,20,26,31,0,1
Connection: SU_A32,SU_B05,2,10,36,16,2,0
Connection: SU_A33,SU_B13,14,34,15,16,1,3
Connection: SU_A33,SU_B04,44,31,7,33,0,2
Connection: SU_A34,SU_B04,45,2,4,2,0,2
Connection: SU_A35,SU_B09,14,27,29,51,1,3
Connection: SU_A36,SU_B08,5,5,102,8,2,0
Connection: SU_A37,SU_S04,23,31,23,12,1,3
Connection: SU_A37,SU_B04,6,23,100,22,2,0
Connection: SU_A37,SU_A63,47,23,10,23,0,2
Connection: SU_A37,SU_A39,26,18,25,33,3,1
Connection: SU_A38,SU_A53,48,5,8,7,0,2
Connection: SU_A39,SU_A53,37,26,3,29,0,2
Connection: SU_A40,SU_B07,2,17,99,25,2,0
Connection: SU_A41,SU_A42,19,29,10,3,2,3
Connection: SU_A41,SU_A43,48,23,6,23,0,2
Connection: SU_A41,SU_C04,5,9,151,11,2,0
Connection: SU_A41,SU_A44,47,5,4,5,0,2
Connection: SU_A45,SU_C02,44,20,8,19,0,2
Connection: SU_A63,SU_B12,39,25,5,25,0,2
Connection: SU_B01,SU_S03,48,23,18,17,0,2
Connection: SU_B05,SU_B06,49,69,9,45,0,3
Connection: SU_B06,SU_B11,40,73,10,3,0,3
Connection: SU_B08,SU_B09,1,7,48,8,2,0
Connection: SU_B09,SU_B10,24,12,22,74,3,1
Connection: SU_B14,SU_C01,3,14,44,15,2,0
Connection: SU_myroom,SU_room2,26,2,10,39,3,1
Connection: SU_N01,SU_N02,25,28,41,7,1,3
