GATE_HI_SH: -2648.009,600.3982,-1684.492,803.8937,1,0
Connection: SH_C01,SH_C03,19,7,81,6,3,3
Connection: SH_C03,SH_S10,146,19,17,19,0,2
Connection: SH_C04,SH_C05,41,62,5,26,3,2
Connection: SH_C04,SH_S02,46,38,16,18,0,2
Connection: SH_C05,SH_E05,142,15,2,29,0,2
Connection: SH_C07,SH_S01,11,52,29,19,3,0
Connection: SH_C11,SH_D01,38,12,19,3,3,3
Connection: SH_C13,SH_E05,2,19,243,19,2,0
Connection: SH_D02,SH_E02,118,9,68,9,3,3
Connection: SH_D03,SH_H01,6,6,195,47,3,3
Connection: SH_E01,SH_E03,20,3,247,5,3,3
Connection: SH_E01,SH_E04,245,4,16,4,3,3
Connection: SH_E02,SH_S08,10,8,11,27,3,1
Connection: SH_E04,SH_H01,250,4,11,6,3,3
